chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr1	3536523	3536746	0.49	0.73	0.59	0.59	0.40	0.69	0.25	0.81	0.68	0.89	0.93	0.71	0.86	0.62	0.75	0.75	0.68	0.78	0.87	0.91	0.84	0.66	0.89	0.93	0.93	0.85	0.89	0.82	0.85	0.92	0.94	0.90	0.93	0.94	0.93	0.86	0.88	0.68	0.71
chr1	3993432	3993453	0.88	0.90	0.96	0.77	0.80	0.87	0.76	0.96	0.02	0.94	0.96	0.85	0.90	0.82	0.94	0.91	0.94	0.93	0.90	0.86	0.86	0.78	0.95	0.97	0.99	0.98	0.95	0.62	0.94	0.95	0.94	0.95	0.93	0.97	0.94	0.96	0.93	0.97	0.97
chr1	5895598	5895802	0.93	0.91	0.91	0.72	0.92	0.93	0.79	0.68	0.83	0.83	0.73	0.95	0.93	0.94	0.03	0.83	0.03	0.85	0.93	0.94	0.96	0.80	0.95	0.94	0.96	0.95	0.95	0.90	0.85	0.90	0.95	0.94	0.94	0.94	0.94	0.92	0.90	0.94	0.92
chr1	5959258	5959335	0.93	0.94	0.91	0.89	0.88	0.88	0.87	0.98	0.75	0.95	0.93	0.68	0.95	0.86	0.12	0.92	0.92	0.96	0.95	0.93	0.94	0.79	0.95	0.97	0.97	0.95	0.97	0.92	0.93	0.91	0.95	0.97	0.95	0.95	0.94	0.93	0.96	0.96	0.94
chr1	6356644	6356694	0.95	0.96	0.94	0.92	0.98	0.96	0.95	0.98	0.97	0.96	0.95	0.05	0.97	0.92	0.96	0.98	0.98	0.90	0.96	0.98	0.95	0.88	0.97	0.98	0.96	0.97	0.97	0.93	0.92	0.97	0.95	0.89	0.96	0.99	0.98	0.50	0.96	0.94	0.89
chr1	6654276	6654305	0.96	0.96	0.92	0.92	0.96	0.95	0.93	0.92	0.92	0.92	0.92	0.97	0.97	0.95	0.93	0.91	0.98	0.11	0.94	0.97	0.25	0.89	0.96	0.98	0.98	0.98	0.96	0.96	0.96	0.97	0.98	0.97	0.98	0.97	0.95	0.98	0.97	0.98	0.97
chr1	7991117	7991683	0.96	0.97	0.96	0.94	0.94	0.94	0.95	0.98	0.94	0.97	0.89	0.97	0.98	0.95	0.97	0.97	0.98	0.94	0.84	0.97	0.96	0.79	0.97	0.98	0.97	0.97	0.97	0.94	0.89	0.08	0.97	0.96	0.97	0.97	0.95	0.96	0.96	0.97	0.97
chr1	8152907	8153123	0.96	0.97	0.86	0.94	0.96	0.96	0.91	0.98	0.96	0.96	0.97	0.97	0.98	0.96	0.97	0.99	0.98	0.97	0.96	0.98	0.97	0.68	0.10	0.46	0.94	0.98	0.95	0.93	0.98	0.98	0.98	0.97	0.98	0.98	0.98	0.97	0.97	0.97	0.97
chr1	8646456	8646532	0.98	0.97	0.96	0.91	0.96	0.96	0.96	0.94	0.94	0.91	0.97	0.96	0.96	0.94	0.90	0.93	0.94	0.97	0.53	0.97	0.96	0.78	0.96	0.97	0.98	0.97	0.96	0.95	0.95	0.84	0.94	0.92	0.93	0.99	0.10	0.93	0.93	0.96	0.97
chr1	9313827	9314131	0.92	0.95	0.91	0.89	0.92	0.90	0.91	0.96	0.90	0.90	0.95	0.97	0.96	0.96	0.95	0.96	0.97	0.94	0.08	0.91	0.91	0.68	0.95	0.95	0.96	0.96	0.96	0.93	0.90	0.86	0.97	0.95	0.96	0.97	0.96	0.95	0.95	0.95	0.95
chr1	9540191	9540385	0.06	0.07	0.08	0.08	0.08	0.15	0.06	0.01	0.03	0.08	0.06	0.01	0.18	0.03	0.02	0.10	0.02	0.02	0.08	0.05	0.02	0.00	0.03	0.01	0.01	0.01	0.01	0.15	0.01	0.01	0.02	0.02	0.21	0.85	0.04	0.00	0.01	0.01	0.01
chr1	9554214	9554463	0.96	0.95	0.95	0.96	0.97	0.95	0.93	0.97	0.93	0.96	0.97	0.04	0.97	0.95	0.94	0.96	0.96	0.96	0.96	0.99	0.95	0.82	0.95	0.95	0.96	0.96	0.95	0.94	0.96	0.96	0.93	0.96	0.97	0.98	0.94	0.96	0.95	0.94	0.94
chr1	9606420	9606591	0.96	0.96	0.93	0.95	0.97	0.95	0.93	0.93	0.83	0.96	0.86	0.97	0.97	0.98	0.96	0.97	0.97	0.97	0.97	0.96	0.96	0.88	0.97	0.98	0.97	0.97	0.96	0.93	0.93	0.93	0.88	0.96	0.85	0.15	0.97	0.95	0.96	0.96	0.96
chr1	10151292	10151631	0.92	0.95	0.95	0.91	0.93	0.67	0.91	0.94	0.88	0.96	0.96	0.77	0.98	0.92	0.91	0.93	0.94	0.95	0.93	0.96	0.96	0.85	0.95	0.97	0.72	0.01	0.96	0.92	0.91	0.91	0.94	0.90	0.95	0.94	0.96	0.96	0.95	0.93	0.92
chr1	10361609	10362047	0.94	0.95	0.92	0.84	0.93	0.87	0.86	0.11	0.92	0.93	0.91	0.97	0.96	0.95	0.94	0.88	0.93	0.96	0.97	0.98	0.94	0.70	0.96	0.97	0.98	0.97	0.96	0.94	0.92	0.87	0.95	0.97	0.98	0.96	0.94	0.95	0.96	0.96	0.96
chr1	10513827	10514013	0.97	0.96	0.93	0.95	0.95	0.96	0.95	0.97	0.93	0.96	0.93	0.92	0.77	0.93	0.52	0.02	0.69	0.88	0.95	0.89	0.93	0.85	0.96	0.95	0.98	0.96	0.97	0.88	0.96	0.96	0.95	0.96	0.91	0.97	0.95	0.57	0.91	0.96	0.94
chr1	10620747	10621083	0.95	0.94	0.90	0.92	0.94	0.91	0.90	0.90	0.90	0.26	0.89	0.94	0.96	0.92	0.94	0.93	0.96	0.94	0.02	0.95	0.93	0.79	0.95	0.96	0.98	0.97	0.97	0.93	0.93	0.90	0.88	0.93	0.96	0.96	0.83	0.94	0.92	0.95	0.95
chr1	10621099	10621267	0.95	0.95	0.96	0.93	0.97	0.92	0.90	0.96	0.96	0.88	0.90	0.97	0.96	0.68	0.94	0.95	0.94	0.97	0.02	0.98	0.97	0.78	0.95	0.96	0.98	0.98	0.97	0.90	0.79	0.81	0.92	0.86	0.97	0.92	0.91	0.95	0.95	0.95	0.94
chr1	10820995	10821153	0.86	0.88	0.79	0.76	0.84	0.87	0.66	0.82	0.05	0.94	0.97	0.95	0.97	0.93	0.95	0.93	0.89	0.93	0.91	0.95	0.91	0.65	0.88	0.91	0.94	0.92	0.86	0.88	0.76	0.76	0.89	0.85	0.95	0.85	0.88	0.94	0.94	0.94	0.94
chr1	10957446	10957509	0.94	0.95	0.93	0.93	0.93	0.85	0.91	0.94	0.94	0.96	0.84	0.97	0.97	0.96	0.63	0.02	0.93	0.97	0.97	0.98	0.96	0.78	0.95	0.96	0.96	0.98	0.94	0.92	0.96	0.96	0.98	0.97	0.99	0.96	0.98	0.97	0.97	0.98	0.97
chr1	11046885	11047250	0.90	0.92	0.88	0.86	0.86	0.91	0.84	0.94	0.81	0.96	0.96	0.07	0.95	0.92	0.94	0.94	0.93	0.90	0.93	0.91	0.93	0.74	0.90	0.92	0.95	0.96	0.91	0.92	0.92	0.93	0.96	0.92	0.95	0.96	0.87	0.92	0.90	0.94	0.90
chr1	11206030	11206561	0.90	0.91	0.88	0.89	0.89	0.92	0.88	0.94	0.86	0.96	0.96	0.96	0.82	0.82	0.20	0.41	0.77	0.93	0.94	0.94	0.91	0.83	0.96	0.97	0.98	0.97	0.96	0.94	0.93	0.92	0.88	0.92	0.96	0.95	0.93	0.89	0.89	0.92	0.93
chr1	11846130	11846567	0.91	0.93	0.91	0.86	0.95	0.91	0.85	0.08	0.90	0.94	0.86	0.96	0.96	0.90	0.93	0.93	0.94	0.94	0.91	0.93	0.93	0.81	0.92	0.92	0.95	0.93	0.93	0.93	0.93	0.94	0.96	0.93	0.94	0.94	0.92	0.95	0.95	0.92	0.91
chr1	11846599	11847354	0.90	0.93	0.90	0.88	0.85	0.85	0.86	0.05	0.89	0.95	0.89	0.96	0.96	0.93	0.94	0.94	0.96	0.91	0.94	0.83	0.93	0.76	0.94	0.96	0.95	0.95	0.95	0.92	0.93	0.94	0.96	0.93	0.96	0.95	0.95	0.93	0.94	0.93	0.93
chr1	11989695	11989920	0.88	0.93	0.90	0.91	0.88	0.45	0.89	0.09	0.89	0.96	0.92	0.94	0.96	0.91	0.90	0.91	0.90	0.92	0.89	0.93	0.86	0.90	0.92	0.90	0.96	0.96	0.86	0.92	0.87	0.86	0.95	0.95	0.95	0.89	0.92	0.94	0.90	0.93	0.92
chr1	12499442	12499960	0.24	0.91	0.85	0.77	0.31	0.84	0.41	0.95	0.66	0.94	0.91	0.97	0.96	0.93	0.95	0.92	0.97	0.90	0.93	0.95	0.90	0.82	0.94	0.96	0.95	0.97	0.94	0.94	0.93	0.91	0.96	0.93	0.96	0.94	0.94	0.98	0.95	0.95	0.95
chr1	12666354	12666610	0.71	0.66	0.85	0.07	0.72	0.88	0.61	0.57	0.86	0.95	0.96	0.92	0.91	0.88	0.87	0.89	0.93	0.94	0.93	0.95	0.96	0.63	0.89	0.95	0.95	0.96	0.90	0.91	0.93	0.96	0.94	0.91	0.96	0.97	0.83	0.89	0.88	0.96	0.90
chr1	13711401	13711603	0.71	0.94	0.93	0.92	0.89	0.75	0.91	0.96	0.95	0.96	0.93	0.82	0.97	0.88	0.93	0.95	0.94	0.96	0.95	0.97	0.91	0.69	0.95	0.95	0.86	0.03	0.96	0.87	0.95	0.96	0.97	0.96	0.96	0.98	0.53	0.96	0.96	0.94	0.96
chr1	14954541	14954609	0.90	0.91	0.77	0.81	0.72	0.88	0.84	0.92	0.91	0.95	0.93	0.95	0.98	0.94	0.95	0.97	0.97	0.95	0.97	0.98	0.97	0.72	0.78	0.90	0.95	0.97	0.82	0.89	0.73	0.96	0.95	0.96	0.06	0.74	0.98	0.96	0.97	0.96	0.96
chr1	15065881	15065942	0.95	0.94	0.88	0.88	0.90	0.89	0.89	0.96	0.85	0.96	0.78	0.92	0.97	0.92	0.96	0.95	0.96	0.95	0.96	0.93	0.93	0.75	0.76	0.05	0.95	0.97	0.88	0.78	0.76	0.83	0.92	0.91	0.89	0.67	0.94	0.95	0.93	0.95	0.93
chr1	15065985	15066138	0.90	0.90	0.84	0.90	0.81	0.88	0.81	0.95	0.58	0.89	0.92	0.92	0.92	0.88	0.91	0.95	0.94	0.93	0.94	0.92	0.91	0.70	0.71	0.04	0.94	0.91	0.93	0.86	0.77	0.84	0.85	0.86	0.93	0.86	0.91	0.92	0.93	0.91	0.94
chr1	15357243	15357921	0.92	0.94	0.89	0.88	0.93	0.91	0.91	0.97	0.91	0.95	0.97	0.95	0.93	0.96	0.92	0.92	0.95	0.91	0.95	0.95	0.91	0.68	0.94	0.97	0.96	0.97	0.92	0.88	0.86	0.87	0.91	0.90	0.95	0.95	0.88	0.11	0.94	0.94	0.89
chr1	15439286	15440165	0.92	0.93	0.91	0.87	0.94	0.93	0.88	0.97	0.90	0.96	0.97	0.96	0.95	0.03	0.96	0.96	0.97	0.96	0.92	0.96	0.95	0.71	0.93	0.95	0.96	0.97	0.93	0.93	0.93	0.94	0.96	0.95	0.98	0.97	0.95	0.96	0.96	0.95	0.95
chr1	15440533	15441018	0.91	0.92	0.89	0.84	0.93	0.93	0.86	0.96	0.89	0.96	0.95	0.95	0.94	0.03	0.96	0.95	0.97	0.92	0.95	0.94	0.94	0.69	0.91	0.95	0.95	0.97	0.92	0.94	0.93	0.93	0.95	0.95	0.95	0.93	0.94	0.95	0.95	0.95	0.95
chr1	15441048	15441129	0.92	0.92	0.88	0.82	0.90	0.96	0.86	0.96	0.80	0.94	0.96	0.96	0.94	0.03	0.94	0.96	0.94	0.96	0.96	0.96	0.93	0.65	0.91	0.93	0.95	0.96	0.91	0.90	0.94	0.93	0.97	0.95	0.97	0.97	0.93	0.96	0.96	0.95	0.95
chr1	15450476	15451152	0.94	0.94	0.85	0.84	0.92	0.92	0.84	0.98	0.84	0.97	0.97	0.97	0.95	0.03	0.95	0.96	0.95	0.94	0.94	0.95	0.94	0.64	0.87	0.94	0.96	0.97	0.88	0.93	0.91	0.95	0.95	0.93	0.96	0.97	0.94	0.95	0.96	0.95	0.95
chr1	15458781	15458854	0.97	0.97	0.93	0.94	0.96	0.97	0.95	0.97	0.93	0.95	0.97	0.96	0.96	0.06	0.99	0.98	0.98	0.97	0.96	0.98	0.97	0.73	0.96	0.98	0.98	0.97	0.97	0.93	0.97	0.97	0.97	0.97	0.98	0.98	0.98	0.95	0.98	0.96	0.96
chr1	15472286	15472460	0.90	0.91	0.90	0.83	0.88	0.93	0.84	0.96	0.86	0.96	0.96	0.95	0.94	0.06	0.97	0.94	0.95	0.95	0.85	0.93	0.95	0.57	0.91	0.94	0.95	0.96	0.93	0.92	0.95	0.93	0.96	0.94	0.94	0.97	0.88	0.97	0.96	0.95	0.96
chr1	15495092	15495639	0.94	0.94	0.90	0.86	0.92	0.92	0.85	0.96	0.86	0.95	0.96	0.96	0.93	0.05	0.94	0.91	0.93	0.96	0.96	0.96	0.96	0.65	0.92	0.94	0.95	0.92	0.95	0.91	0.94	0.94	0.95	0.95	0.96	0.96	0.94	0.95	0.94	0.94	0.94
chr1	15702034	15702044	0.87	0.93	0.91	0.90	0.87	0.95	0.90	0.89	0.85	0.95	0.82	0.86	0.86	0.84	0.77	0.00	0.13	0.94	0.94	0.93	0.91	0.72	0.94	0.96	0.96	0.94	0.93	0.81	0.85	0.87	0.93	0.95	0.88	0.93	0.92	0.79	0.87	0.86	0.89
chr1	15792751	15792767	0.93	0.96	0.98	0.94	0.94	0.96	0.94	0.94	0.97	0.97	0.96	0.95	0.95	0.93	0.95	0.97	0.95	0.70	0.96	0.98	0.96	0.83	0.97	0.98	0.98	0.98	0.96	0.96	0.97	0.95	0.95	0.97	0.95	0.96	0.95	0.92	0.95	0.76	0.04
chr1	15939321	15939354	0.95	0.90	0.92	0.94	0.97	0.94	0.84	0.95	0.97	0.94	0.78	0.94	0.94	0.88	0.88	0.72	0.85	0.95	0.94	0.95	0.95	0.82	0.96	0.96	0.98	0.97	0.95	0.88	0.93	0.93	0.88	0.88	0.17	0.86	0.95	0.38	0.90	0.78	0.82
chr1	16343269	16343606	0.93	0.96	0.93	0.92	0.91	0.87	0.89	0.95	0.87	0.93	0.84	0.98	0.97	0.97	0.97	0.97	0.98	0.94	0.87	0.97	0.96	0.87	0.96	0.96	0.97	0.97	0.96	0.93	0.93	0.93	0.97	0.96	0.88	0.16	0.92	0.85	0.97	0.96	0.95
chr1	17670153	17670430	0.91	0.93	0.89	0.88	0.92	0.82	0.85	0.76	0.92	0.88	0.77	0.95	0.94	0.94	0.91	0.08	0.84	0.83	0.94	0.96	0.95	0.72	0.93	0.96	0.95	0.96	0.95	0.95	0.95	0.95	0.95	0.95	0.97	0.94	0.96	0.90	0.94	0.93	0.95
chr1	17761525	17761536	0.93	0.92	0.92	0.88	0.86	0.93	0.90	0.98	0.87	0.96	0.96	0.95	0.88	0.94	0.88	0.95	0.91	0.94	0.95	0.90	0.81	0.72	0.95	0.95	0.95	0.94	0.95	0.67	0.92	0.92	0.27	0.80	0.90	0.89	0.93	0.97	0.94	0.82	0.85
chr1	18952889	18952979	0.93	0.94	0.84	0.93	0.91	0.94	0.93	0.94	0.90	0.96	0.81	0.97	0.14	0.93	0.98	0.98	0.98	0.93	0.93	0.99	0.97	0.81	0.89	0.93	0.95	0.94	0.83	0.32	0.91	0.92	0.96	0.97	0.98	0.83	0.95	0.95	0.95	0.97	0.96
chr1	20029350	20029407	0.92	0.92	0.91	0.05	0.87	0.88	0.77	0.72	0.77	0.93	0.95	0.93	0.94	0.86	0.92	0.91	0.90	0.93	0.91	0.93	0.95	0.73	0.93	0.95	0.96	0.97	0.97	0.96	0.94	0.94	0.94	0.97	0.94	0.91	0.94	0.93	0.95	0.97	0.96
chr1	20029470	20029505	0.88	0.87	0.83	0.05	0.71	0.88	0.63	0.90	0.73	0.92	0.94	0.85	0.93	0.79	0.91	0.89	0.82	0.94	0.88	0.94	0.96	0.67	0.91	0.95	0.95	0.91	0.94	0.98	0.93	0.92	0.97	0.91	0.94	0.95	0.90	0.89	0.93	0.97	0.96
chr1	20875061	20875712	0.90	0.97	0.89	0.94	0.91	0.94	0.94	0.97	0.93	0.96	0.98	0.98	0.97	0.97	0.97	0.96	0.98	0.91	0.96	0.97	0.96	0.70	0.97	0.97	0.97	0.88	0.95	0.90	0.96	0.97	0.82	0.86	0.98	0.98	0.98	0.96	0.97	0.02	0.52
chr1	21687145	21688109	0.95	0.95	0.94	0.89	0.93	0.94	0.93	0.94	0.94	0.90	0.94	0.97	0.96	0.95	0.93	0.96	0.87	0.97	0.93	0.97	0.94	0.07	0.96	0.97	0.96	0.97	0.97	0.96	0.96	0.95	0.96	0.95	0.92	0.95	0.93	0.94	0.92	0.96	0.96
chr1	21980871	21981034	0.82	0.89	0.85	0.79	0.75	0.82	0.77	0.89	0.68	0.90	0.96	0.96	0.93	0.01	0.95	0.93	0.96	0.91	0.87	0.87	0.92	0.74	0.89	0.92	0.90	0.86	0.86	0.90	0.90	0.88	0.95	0.87	0.95	0.94	0.87	0.84	0.92	0.92	0.91
chr1	22003543	22003866	0.91	0.93	0.86	0.91	0.81	0.81	0.85	0.97	0.87	0.94	0.96	0.95	0.95	0.02	0.95	0.96	0.96	0.95	0.95	0.96	0.90	0.63	0.94	0.94	0.96	0.95	0.91	0.93	0.85	0.91	0.94	0.94	0.97	0.96	0.95	0.88	0.94	0.96	0.95
chr1	22004220	22004858	0.90	0.94	0.86	0.88	0.87	0.94	0.84	0.95	0.81	0.96	0.96	0.92	0.96	0.02	0.91	0.92	0.93	0.96	0.87	0.94	0.94	0.55	0.88	0.92	0.95	0.94	0.88	0.88	0.90	0.92	0.95	0.92	0.97	0.97	0.86	0.90	0.93	0.94	0.93
chr1	22004928	22005125	0.90	0.94	0.89	0.93	0.88	0.93	0.90	0.94	0.92	0.94	0.97	0.95	0.91	0.02	0.93	0.94	0.95	0.94	0.71	0.95	0.87	0.74	0.96	0.96	0.96	0.96	0.92	0.94	0.93	0.95	0.98	0.94	0.97	0.97	0.93	0.91	0.91	0.92	0.91
chr1	22486954	22487027	0.91	0.90	0.93	0.92	0.74	0.95	0.94	0.94	0.83	0.97	0.96	0.07	0.97	0.96	0.95	0.97	0.96	0.97	0.93	0.98	0.95	0.78	0.96	0.92	0.97	0.98	0.95	0.96	0.95	0.95	0.97	0.98	0.95	0.96	0.97	0.89	0.94	0.96	0.97
chr1	22707901	22707940	0.89	0.84	0.90	0.93	0.97	0.94	0.88	0.95	0.90	0.95	0.91	0.92	0.96	0.93	0.84	0.02	0.38	0.94	0.93	0.95	0.90	0.68	0.90	0.94	0.95	0.94	0.94	0.88	0.82	0.80	0.93	0.88	0.96	0.96	0.88	0.97	0.87	0.90	0.89
chr1	25202177	25202202	0.93	0.95	0.91	0.88	0.93	0.92	0.85	0.98	0.90	0.95	0.97	0.97	0.98	0.95	0.95	0.98	0.94	0.97	0.86	0.97	0.98	0.77	0.90	0.96	0.95	0.97	0.94	0.92	0.69	0.05	0.90	0.96	0.98	0.98	0.61	0.93	0.96	0.96	0.97
chr1	26140888	26141242	0.90	0.92	0.88	0.80	0.87	0.87	0.82	0.90	0.82	0.93	0.95	0.94	0.94	0.87	0.95	0.92	0.93	0.90	0.08	0.94	0.89	0.70	0.93	0.94	0.95	0.97	0.92	0.93	0.87	0.80	0.93	0.91	0.90	0.79	0.07	0.92	0.93	0.95	0.93
chr1	27269525	27269535	0.96	0.97	0.95	0.94	0.99	0.99	0.95	0.96	0.94	0.08	0.90	0.99	0.99	0.98	0.96	0.98	0.97	0.99	0.98	0.98	0.94	0.89	0.96	0.97	0.97	0.98	0.97	0.91	0.97	0.98	0.98	0.98	1.00	0.98	0.98	0.98	0.98	0.97	0.98
chr1	27821782	27822000	0.93	0.93	0.86	0.92	0.91	0.90	0.86	0.93	0.87	0.95	0.94	0.98	0.96	0.80	0.91	0.92	0.95	0.15	0.04	0.94	0.96	0.81	0.96	0.98	0.97	0.97	0.95	0.95	0.91	0.89	0.95	0.91	0.97	0.91	0.93	0.33	0.91	0.94	0.93
chr1	28400233	28400328	0.94	0.97	0.95	0.95	0.89	0.90	0.94	0.97	0.91	0.96	0.96	0.98	0.98	0.96	0.97	0.95	0.97	0.86	0.90	0.06	0.07	0.84	0.96	0.98	0.97	0.97	0.98	0.93	0.95	0.96	0.97	0.97	0.97	0.96	0.97	0.96	0.96	0.96	0.95
chr1	28400640	28400737	0.97	0.97	0.96	0.96	0.95	0.97	0.94	0.98	0.90	0.97	0.97	0.96	0.96	0.97	0.98	0.97	0.98	0.96	0.94	0.07	0.14	0.85	0.97	0.98	0.97	0.94	0.97	0.94	0.94	0.97	0.97	0.97	0.99	0.96	0.96	0.97	0.81	0.97	0.97
chr1	28527738	28528078	0.91	0.95	0.93	0.93	0.90	0.88	0.93	0.98	0.90	0.96	0.97	0.96	0.97	0.94	0.96	0.95	0.96	0.97	0.96	0.94	0.94	0.86	0.96	0.97	0.95	0.91	0.96	0.92	0.80	0.36	0.95	0.88	0.96	0.95	0.05	0.95	0.96	0.96	0.95
chr1	29052805	29053268	0.79	0.87	0.88	0.84	0.61	0.67	0.68	0.94	0.81	0.95	0.93	0.97	0.96	0.93	0.06	0.81	0.94	0.90	0.91	0.94	0.92	0.91	0.96	0.96	0.97	0.96	0.82	0.94	0.92	0.92	0.97	0.96	0.97	0.96	0.95	0.88	0.89	0.95	0.87
chr1	29224477	29224585	0.91	0.94	0.94	0.80	0.94	0.93	0.86	0.05	0.94	0.83	0.94	0.97	0.97	0.94	0.92	0.94	0.95	0.97	0.95	0.97	0.89	0.00	0.95	0.94	0.96	0.96	0.95	0.95	0.95	0.95	0.95	0.97	0.99	0.97	0.97	0.95	0.94	0.96	0.97
chr1	29259771	29260246	0.01	0.03	0.03	0.02	0.12	0.02	0.02	0.01	0.03	0.02	0.02	0.01	0.06	0.04	0.03	0.08	0.03	0.02	0.04	0.02	0.05	0.00	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.04	0.09	0.80	0.01	0.02	0.17	0.02	0.01	0.01	0.02
chr1	31946120	31946203	0.97	0.97	0.93	0.96	0.94	0.94	0.95	0.95	0.95	0.96	0.97	0.97	0.98	0.96	0.97	0.98	0.96	0.97	0.96	0.98	0.97	0.84	0.96	0.98	0.98	0.97	0.97	0.94	0.95	0.95	0.97	0.96	0.96	0.96	0.95	0.94	0.17	0.94	0.94
chr1	32215992	32216035	0.92	0.96	0.97	0.93	0.93	0.94	0.93	0.97	0.85	0.92	0.89	0.98	0.98	0.99	0.98	0.97	0.98	0.97	0.98	0.95	0.95	0.91	0.96	0.97	0.95	0.94	0.96	0.88	0.95	0.95	0.88	0.96	0.95	0.97	0.98	0.91	0.96	0.03	0.57
chr1	32252846	32253137	0.86	0.90	0.77	0.81	0.90	0.88	0.80	0.95	0.81	0.95	0.97	0.94	0.92	0.81	0.93	0.93	0.93	0.92	0.83	0.91	0.85	0.64	0.03	0.63	0.93	0.96	0.79	0.90	0.86	0.86	0.90	0.89	0.97	0.97	0.82	0.92	0.84	0.80	0.77
