acc,chr,pos
cg22501342,chr6,37322729
cg21161394,chr1,167408709
cg02648847,chr1,167408735
cg02676175,chr17,7253720
cg23829102,chr4,124476694
cg13315450,chr2,220114289
cg03484180,chr3,49967517
cg13072940,chr3,49967521
cg05047486,chr17,38277603
cg06126721,chr17,1478065
cg23728447,chr10,126429267
cg20381404,chr5,34008215
cg08462306,chr1,45273545
cg24254387,chr1,45273495
cg22897141,chr11,64577338
cg09915396,chr17,2907895
cg02076355,chr10,45474372
cg18584387,chr12,4384879
cg07066369,chr12,4384888
cg17580045,chr12,4384890
cg24070123,chr6,34665156
cg23125506,chr15,41198534
cg11930955,chr12,113660045
cg10911160,chr5,118691794
cg23917399,chr5,118691751
cg05783185,chr8,119121281
cg11639950,chr12,125003407
cg17187521,chr12,125003379
cg21161394,chr1,167408709
cg02648847,chr1,167408735
cg13909895,chr22,51066142
cg26604214,chr17,2907678
cg18584387,chr12,4384879
cg07066369,chr12,4384888
cg17580045,chr12,4384890
cg23051299,chr2,75938289
cg20704342,chr2,75938273
cg26476925,chr19,45245446
cg24011261,chr3,49396226
cg05551922,chr3,49396232
cg05055782,chr3,49396193
cg03214730,chr16,73081558
cg07346187,chr6,149775621
cg22001211,chr2,61766532
cg20518511,chr7,5458901
cg09033131,chr11,118135094
cg16594165,chr11,118135105
cg01607849,chr12,6976129
cg22249612,chr12,56121485
cg21869046,chr19,41225005
cg12150039,chr19,35490532
cg22045942,chr19,35490561
cg22820108,chr12,125003218
cg04173586,chr19,2167496
cg26971042,chr15,70387217
cg09046309,chr20,45947226
cg10421247,chr12,120524653
cg13073224,chr12,117131523
cg16684607,chr16,57897717
cg01098178,chr16,57897687
cg08092930,chr11,70117714
cg27388962,chr10,4705434
cg07905673,chr3,42695580
cg12273325,chr22,31689831
cg10708955,chr17,8056950
cg04658021,chr17,8056967
cg13759852,chr17,8056985
cg02705163,chr6,138893673
cg04850961,chr6,138893687
cg01615880,chr6,138893677
cg06881310,chr6,138893718
cg25989075,chr6,138893712
cg03417473,chr1,113216382
cg06653052,chr19,1275167
cg01924434,chr19,1275121
cg20730253,chr5,118691697
cg23243080,chr5,118691694
cg06528575,chr1,207082828
cg04231677,chr1,184808004
cg01564818,chr3,9464436
cg26337070,chr2,85999873
cg00135056,chr3,128997295
cg21822187,chr12,66286141
cg23643435,chr2,38893251
cg05604112,chr2,38893237
cg13298116,chr11,62369859
cg11742103,chr11,62369870
cg12065777,chr17,16311838
cg25554283,chr17,63558259
cg02366988,chr17,63558245
cg12034678,chr1,41982027
cg08360820,chr10,11652640
cg05041073,chr17,37774893
cg21936280,chr17,37774934
cg02971575,chr4,146402540
cg22306344,chr3,49966773
cg13904970,chr5,123987667
cg22620363,chr10,80826794
cg11478607,chr22,24384400
cg13469590,chr9,19229767
cg20243351,chr17,47271156
cg05768702,chr17,47271133
cg13607248,chr3,183874556
cg14247332,chr9,132805979
cg16208357,chr17,40932520
cg24104567,chr17,40932508
cg02763536,chr17,40932515
cg24235581,chr12,58290452
cg25104621,chr11,1569812
cg10837858,chr11,1569783
cg12894649,chr20,11871396
cg23944804,chr20,11871384
cg14603345,chr20,11871375
cg15085899,chr12,125003064
cg27424995,chr1,27902555
cg19811761,chr19,57019022
cg00674365,chr19,57019069
cg11411904,chr1,153935719
cg21344746,chr10,80831230
cg13357602,chr6,30655720
cg06065225,chr11,65640137
cg17598713,chr6,33265534
cg03384992,chr18,21852325
cg06593258,chr18,21852333
cg26398656,chr18,21852327
cg09033131,chr11,118135094
cg16594165,chr11,118135105
cg25728685,chr6,28351148
cg24152605,chr19,57050359
cg21970554,chr19,57050370
cg22054362,chr19,57050367
cg12349858,chr3,160822545
cg16208357,chr17,40932520
cg24104567,chr17,40932508
cg02763536,chr17,40932515
cg02003159,chr12,107711614
cg24124443,chr12,107711648
cg05022378,chr19,12606767
cg08894153,chr19,12606729
cg14873488,chr14,39735625
cg02447380,chr1,28919300
cg08092930,chr11,70117714
cg05412028,chr13,95952937
cg26685941,chr13,95952902
cg25365958,chr13,42615991
cg19358877,chr19,57019279
cg08640252,chr16,1820949
cg18213545,chr11,57529400
cg10831212,chr11,57529419
cg19210276,chr11,57529465
cg03287340,chr19,50651195
cg06923988,chr12,112035285
cg15050390,chr11,111847984
cg15416179,chr17,21189859
cg17062279,chr17,3658505
cg24152605,chr19,57050359
cg21970554,chr19,57050370
cg22054362,chr19,57050367
cg17772171,chr6,144608178
cg02305850,chr11,126152462
cg02973469,chr11,126152481
cg16898124,chr3,126195383
cg20645074,chr12,49182479
cg15846482,chr11,18610557
cg19927257,chr1,155294942
cg14210872,chr1,155294935
cg10903451,chr2,164592851
cg00490655,chr2,164592854
cg06003296,chr12,71003681
cg12426092,chr15,31689570
cg05058167,chr17,37895424
cg19713567,chr17,37895429
cg03717364,chr2,43202481
cg04011671,chr2,43202474
cg11270042,chr17,26219919
cg13790603,chr3,24536478
cg20985755,chr3,24536474
cg17700915,chr19,52840042
cg16704678,chr1,32230177
cg10831212,chr11,57529419
cg19210276,chr11,57529465
cg09082903,chr4,164253207
cg03666441,chr17,7254671
cg14878812,chr8,48649326
cg00159523,chr10,114713187
cg25011475,chr10,88517608
cg21602557,chr8,119122878
cg23919479,chr14,37667261
cg18976418,chr14,39735496
cg24312719,chr1,93251184
cg11226183,chr1,93251218
cg17140307,chr1,93251203
cg27363829,chr3,164914614
cg24442740,chr1,27902069
cg19146924,chr11,64794755
cg24585346,chr11,64794741
cg10683341,chr4,39639289
cg23651614,chr4,39639327
cg12446199,chr1,167408841
cg21863949,chr21,43198431
cg11497957,chr8,125985846
cg19547144,chr3,129147553
cg14779951,chr3,129147541
cg17329494,chr5,65018961
cg26059153,chr20,13976190
cg06571075,chr20,13976143
cg09057863,chr16,30817168
cg22777062,chr21,38353114
cg19725489,chr5,72252795
cg12272837,chr19,291315
cg02935627,chr19,291306
cg16015423,chr19,15217974
cg17765751,chr19,15217993
cg14222879,chr8,71316696
cg15245095,chr12,79258438
cg03205584,chr12,79258407
cg25570278,chr14,23306509
cg17468185,chr3,129147397
cg12894649,chr20,11871396
cg23944804,chr20,11871384
cg14603345,chr20,11871375
cg18238374,chr14,89507124
cg02321062,chr3,107244746
cg11033835,chr3,77087860
cg02003159,chr12,107711614
cg24124443,chr12,107711648
cg11183072,chr17,37894397
cg13761998,chr17,37894403
cg17740645,chr17,37894413
cg04850765,chr15,67135479
cg26308477,chr20,44065479
cg19286686,chr2,158731699
cg23967461,chr2,158731736
cg08169020,chr14,69256888
cg25913761,chr15,90727560
cg26955540,chr15,90727570
cg12827637,chr14,69256791
cg13677741,chr1,236031096
cg19442545,chr10,75533431
cg15838173,chr10,75533400
cg23231163,chr10,75533350
cg04858631,chr10,74035570
cg19442545,chr10,75533431
cg15838173,chr10,75533400
cg02646515,chr2,128168987
cg00982136,chr2,201726139
cg05507654,chr16,88509857
cg18136963,chr6,139013146
cg25170017,chr11,64644487
cg15376996,chr22,50912555
cg10560079,chr2,191398806
cg11845111,chr2,191398756
cg27211696,chr2,191398769
cg24565820,chr22,24372926
cg23896514,chr7,150103902
cg27388962,chr10,4705434
cg08474651,chr2,201729683
cg14789659,chr10,63809073
cg00928816,chr10,63809098
cg20746552,chr10,63809108
cg16389209,chr10,63809121
cg23220823,chr7,45041140
cg01424562,chr14,69256677
cg08832851,chr12,92535822
cg09642825,chr16,87416230
cg06375761,chr6,33280408
cg13638257,chr6,33280436
cg14419102,chr6,33280400
cg18353226,chr6,33280390
cg26083458,chr6,33280424
cg22879098,chr5,672845
cg24082121,chr5,672872
cg12474798,chr10,64565772
cg20684110,chr10,64565750
cg01005506,chr10,64565768
cg06340704,chr13,97877417
cg09267773,chr16,79802467
cg12420283,chr1,173990399
cg26033520,chr10,74004071
cg06601071,chr16,85525842
cg18856478,chr1,43814358
cg05098343,chr7,37071686
cg17084151,chr8,102803237
cg12474798,chr10,64565772
cg20684110,chr10,64565750
cg01005506,chr10,64565768
cg06375761,chr6,33280408
cg13638257,chr6,33280436
cg14419102,chr6,33280400
cg18353226,chr6,33280390
cg26083458,chr6,33280424
cg19300307,chr13,99136580
cg08857351,chr12,117627450
cg02486646,chr12,117627478
cg03419014,chr21,38362742
cg14785464,chr21,38362725
cg06167719,chr21,38362727
cg09037712,chr21,38362754
cg27189395,chr16,89725071
cg04043919,chr16,89725091
cg26315985,chr1,65363870
cg11895835,chr5,111078476
cg25913761,chr15,90727560
cg26955540,chr15,90727570
cg18675610,chr10,32216311
cg22706007,chr10,32216359
cg00936790,chr8,29027844
cg11975790,chr6,30853608
cg25607383,chr6,30853569
cg09367425,chr11,61733997
cg05258935,chr19,39086923
cg10218876,chr19,55660625
cg18649823,chr19,55660591
cg19504245,chr19,55660620
cg24699670,chr19,55660614
cg07218880,chr13,115046279
cg07520810,chr10,63809149
cg20746552,chr10,63809108
cg16401465,chr10,63809170
cg16389209,chr10,63809121
cg06889535,chr11,126455712
cg22879098,chr5,672845
cg24082121,chr5,672872
cg10361922,chr17,40925790
cg03419014,chr21,38362742
cg14785464,chr21,38362725
cg06167719,chr21,38362727
cg09037712,chr21,38362754
cg26460530,chr22,39919067
cg19147129,chr2,74230310
cg08257293,chr20,30308440
cg12461469,chr3,149530341
cg13512830,chr3,149530294
cg04962480,chr8,101962118
cg08063160,chr2,238578376
cg26401541,chr6,91078974
cg14855367,chr3,191048308
cg15059065,chr19,17354961
cg07520810,chr10,63809149
cg14789659,chr10,63809073
cg00928816,chr10,63809098
cg20746552,chr10,63809108
cg16401465,chr10,63809170
cg16389209,chr10,63809121
cg02676175,chr17,7253720
cg20074395,chr20,1246715
cg18215449,chr12,66089473
cg12946660,chr19,41771873
cg06864789,chr6,139012992
cg05419812,chr6,31276437
cg18845950,chr6,31276434
cg19692929,chr14,92575120
cg04462378,chr11,71749760
cg20809067,chr17,4166410
cg20227056,chr6,130096463
cg10661769,chr6,30881484
cg12433575,chr6,30881464
cg27292818,chr19,56151972
cg27312961,chr3,191048361
cg13506158,chr3,191048377
cg27269488,chr3,191048411
cg08846870,chr19,15568360
cg05560697,chr5,141392853
cg14845962,chr12,58120237
cg14057303,chr9,109683834
cg21869046,chr19,41225005
cg01726273,chr2,70360150
cg05337711,chr16,11946064
cg14395885,chr9,130700923
cg21181453,chr9,130700954
cg27016579,chr5,168778028
cg06493154,chr6,42859023
cg24591770,chr1,45082704
cg11402700,chr13,111267793
cg03254916,chr1,201978949
cg15185986,chr13,98919378
cg20510285,chr6,11263797
cg19828220,chr17,46682413
cg10906729,chr17,46682390
cg18684142,chr17,46682394
cg11532431,chr7,27169674
cg16127573,chr11,57532299
cg18071071,chr4,1558451
cg02297709,chr1,160159670
cg15926420,chr1,160159672
cg01403948,chr19,7661617
cg03803541,chr17,46681401
cg17179862,chr17,46681362
cg08169020,chr14,69256888
cg12968518,chr2,148602504
cg13152952,chr8,41570554
cg12461469,chr3,149530341
cg13512830,chr3,149530294
cg08832851,chr12,92535822
cg25170017,chr11,64644487
cg04727071,chr19,4061359
cg18496447,chr15,45480917
cg13677741,chr1,236031096
cg15082802,chr19,11491513
cg03419014,chr21,38362742
cg14785464,chr21,38362725
cg06167719,chr21,38362727
cg09037712,chr21,38362754
cg09642825,chr16,87416230
cg13108141,chr7,129590607
cg12637869,chr3,121741209
cg25801976,chr8,48648112
cg12827637,chr14,69256791
cg15376996,chr22,50912555
cg22879098,chr5,672845
cg24082121,chr5,672872
cg24163242,chr8,48648813
cg18448570,chr10,98031337
cg01930746,chr2,10950511
cg27388962,chr10,4705434
cg03956042,chr3,194206497
cg14131285,chr17,71949210
cg22249612,chr12,56121485
cg00044505,chr8,48649086
cg05056497,chr21,35899448
cg01424562,chr14,69256677
cg20227056,chr6,130096463
cg07216976,chr10,116581248
cg07377519,chr19,50269083
cg14284211,chr6,35570224
cg23051299,chr2,75938289
cg20704342,chr2,75938273
cg15076218,chr1,46599002
cg14789659,chr10,63809073
cg00928816,chr10,63809098
cg20746552,chr10,63809108
cg16389209,chr10,63809121
cg19414630,chr8,48648874
cg05098343,chr7,37071686
cg22017733,chr5,162936453
cg24325362,chr18,39535171
cg26315985,chr1,65363870
cg02962602,chr17,80171413
cg13442969,chr12,68044208
cg12474798,chr10,64565772
cg20684110,chr10,64565750
cg01005506,chr10,64565768
cg19300307,chr13,99136580
cg02635260,chr1,222988117
cg00448868,chr16,66775493
cg11630632,chr13,33113343
cg17936564,chr13,33113331
cg08255475,chr16,88871329
cg12054453,chr17,57915717
cg01409343,chr17,57915740
cg07520810,chr10,63809149
cg20746552,chr10,63809108
cg16401465,chr10,63809170
cg16389209,chr10,63809121
cg26894079,chr11,122954435
cg17084151,chr8,102803237
cg16744438,chr11,118657127
cg10932907,chr11,129723947
cg25124966,chr11,129723987
cg08367326,chr1,110052010
cg27016579,chr5,168778028
cg04858631,chr10,74035570
cg10535675,chr11,85955574
cg08786207,chr8,41559303
cg11895835,chr5,111078476
cg06493154,chr6,42859023
cg13488013,chr17,47592680
cg10807894,chr12,125169804
cg07748583,chr7,151157166
cg15935721,chr7,151157140
cg19668951,chr11,47430812
cg12946660,chr19,41771873
cg08979515,chr3,111697575
cg10672681,chr3,111697537
cg12420283,chr1,173990399
cg25131247,chr11,118660965
cg11006453,chr8,141599185
cg13157980,chr8,141599141
cg27653384,chr22,22293118
cg27395200,chr6,32942710
cg07275218,chr6,32942714
cg27312961,chr3,191048361
cg13506158,chr3,191048377
cg27269488,chr3,191048411
cg22109530,chr1,178310534
cg14515791,chr1,178310545
cg15643574,chr11,85778241
cg12128828,chr14,91164042
