acc,chr,pos
cg26059153,chr20,13995544
cg06571075,chr20,13995497
cg13650938,chr19,2579077
cg22451233,chr4,156971613
cg24634420,chr4,156971596
cg20937139,chr4,156971606
cg17364114,chr6,160348327
cg10700424,chr11,134332058
cg07759394,chr11,134332060
cg23919479,chr14,37198056
cg22079161,chr4,7938852
cg13673164,chr1,109466887
cg08915603,chr4,186555415
cg09473510,chr4,186555419
cg21918126,chr14,79279128
cg13920435,chr9,87974725
cg16357921,chr9,87974719
cg20536983,chr8,13276657
cg03304380,chr8,13276635
cg05191076,chr4,65670468
cg17426273,chr10,21173512
cg08564661,chr10,122374269
cg03205140,chr10,122374286
cg10576280,chr10,122374306
cg03287340,chr19,50147938
cg12585966,chr19,17539200
cg02458065,chr19,52095400
cg24333845,chr3,152299017
cg05884394,chr7,90119357
cg03098837,chr7,90119372
cg24617568,chr7,90119333
cg05446424,chr2,14632610
cg05403555,chr2,75199962
cg04053392,chr6,168319825
cg11238048,chr6,168319807
cg24416513,chr2,176130036
cg06906472,chr2,106886345
cg18778433,chr11,12377629
cg12535280,chr11,12377951
cg05602862,chr2,14634922
cg00604209,chr5,147235033
cg08915603,chr4,186555415
cg09473510,chr4,186555419
cg24636477,chr10,47300131
cg01244944,chr4,186723964
cg27475132,chr4,186723966
cg24410535,chr4,186723990
cg25191850,chr1,233613887
cg20947082,chr1,233613897
cg18301891,chr14,101560835
cg01277542,chr16,55655989
cg10362591,chr16,55655953
cg14060111,chr20,13220297
cg09491991,chr20,13220333
cg25796439,chr20,13220292
cg04432319,chr20,13220284
cg12664209,chr20,13220307
cg25998402,chr5,174724495
cg17156565,chr5,174724489
cg20478129,chr14,26598166
cg16248329,chr4,186723585
cg10700424,chr11,134332058
cg07759394,chr11,134332060
cg05251676,chr5,38258782
cg01552272,chr20,13995450
cg04624110,chr20,13995447
cg23169957,chr20,13995460
cg25557432,chr20,13995471
cg04716990,chr20,13995480
cg06571075,chr20,13995497
cg01552272,chr20,13995450
cg04624110,chr20,13995447
cg23169957,chr20,13995460
cg25557432,chr20,13995471
cg04716990,chr20,13995480
cg06571075,chr20,13995497
cg04925858,chr14,77033204
cg09082903,chr4,163332055
cg18932726,chr10,126905572
cg05608777,chr10,126905575
cg11183632,chr20,21522514
cg20809378,chr11,43548005
cg14060111,chr20,13220297
cg09491991,chr20,13220333
cg25796439,chr20,13220292
cg04432319,chr20,13220284
cg12664209,chr20,13220307
cg09912350,chr4,155667174
cg21426003,chr2,236168168
cg19761848,chr2,236168172
cg13985485,chr1,239386983
cg13570831,chr1,239387003
cg19358877,chr19,56507910
cg03735496,chr18,21242676
cg10276227,chr19,33194911
cg14326196,chr9,114098370
cg12894649,chr20,11890748
cg23944804,chr20,11890736
cg14603345,chr20,11890727
cg14060111,chr20,13220297
cg09491991,chr20,13220333
cg25796439,chr20,13220292
cg04432319,chr20,13220284
cg12664209,chr20,13220307
cg19811761,chr19,56507653
cg00674365,chr19,56507700
cg14255256,chr2,46465
cg03242819,chr10,127196168
cg19429281,chr19,52993485
cg14344261,chr9,36986383
cg13910860,chr9,36986410
cg26422161,chr6,1312976
cg18804985,chr4,74099509
cg23244559,chr4,74099545
cg27113059,chr18,49561878
cg16652741,chr2,218960578
cg18932726,chr10,126905572
cg05608777,chr10,126905575
cg00212988,chr10,93566554
cg23654127,chr10,93566556
cg01552272,chr20,13995450
cg04624110,chr20,13995447
cg23169957,chr20,13995460
cg25557432,chr20,13995471
cg04716990,chr20,13995480
cg26059153,chr20,13995544
cg06571075,chr20,13995497
cg27166993,chr12,71439251
cg05502701,chr3,73625009
cg24353443,chr3,73625015
cg10111115,chr3,73624995
cg14473924,chr3,73625019
cg10755973,chr9,124011600
cg08675717,chr20,59605186
cg13330559,chr17,11240726
cg21599230,chr4,117085463
cg18314424,chr4,183797452
cg27051931,chr18,31101999
cg02487453,chr22,30802737
cg02422426,chr4,182448906
cg13524302,chr6,33117021
cg23075555,chr6,33117012
cg24465429,chr6,33117048
cg02662362,chr6,33117037
cg17833071,chr6,33116993
cg24266485,chr6,33117063
cg06781135,chr6,27020362
cg11369071,chr6,27020369
cg14051842,chr6,27020408
cg12272837,chr19,291315
cg02935627,chr19,291306
cg12835048,chr10,121598092
cg09880551,chr21,40847006
cg21173447,chr21,40847038
cg25591794,chr13,27980705
cg13524302,chr6,33117021
cg23075555,chr6,33117012
cg24465429,chr6,33117048
cg02662362,chr6,33117037
cg17833071,chr6,33116993
cg24266485,chr6,33117063
cg14060111,chr20,13220297
cg09491991,chr20,13220333
cg25796439,chr20,13220292
cg04432319,chr20,13220284
cg12664209,chr20,13220307
cg02910208,chr7,54542329
cg14487131,chr9,77018821
cg24531022,chr5,102866121
cg15085899,chr12,124518518
cg12034678,chr1,41516356
cg05412028,chr13,95300683
cg26685941,chr13,95300648
cg02003159,chr12,107317837
cg24124443,chr12,107317871
cg03384992,chr18,24272361
cg06593258,chr18,24272369
cg26398656,chr18,24272363
cg11006267,chr5,139637839
cg02983950,chr1,38476548
cg14873488,chr14,39266421
cg00349895,chr4,153152349
cg01022974,chr4,153152328
cg05164926,chr17,7352305
cg18213545,chr11,57761928
cg10831212,chr11,57761947
cg19210276,chr11,57761993
cg15650509,chr2,236567966
cg15473346,chr1,165829183
cg06121450,chr1,165829145
cg14612335,chr3,170356343
cg00349895,chr4,153152349
cg01022974,chr4,153152328
cg16208357,chr17,42780502
cg24104567,chr17,42780490
cg02763536,chr17,42780497
cg03717364,chr2,42975341
cg04011671,chr2,42975334
cg02971575,chr4,145481388
cg07363543,chr1,224503573
cg15232539,chr8,19602161
cg21344746,chr10,79071473
cg25606201,chr5,181187858
cg26008365,chr1,153986321
cg10640944,chr5,102866186
cg16208357,chr17,42780502
cg24104567,chr17,42780490
cg02763536,chr17,42780497
cg08640252,chr16,1770948
cg18976418,chr14,39266292
cg25365958,chr13,42041855
cg16247817,chr1,153775210
cg24408896,chr1,153775182
cg10683341,chr4,39637669
cg23651614,chr4,39637707
cg10831212,chr11,57761947
cg19210276,chr11,57761993
cg08092930,chr11,70271608
cg15416179,chr17,21286547
cg18609578,chr2,200306083
cg03997390,chr2,200306067
cg12446199,chr1,167439604
cg22707529,chr6,143678578
cg20865323,chr6,143678529
cg27557428,chr1,201170750
cg12426092,chr15,31397367
cg13469590,chr9,19229769
cg13607248,chr3,184156768
cg05103231,chr6,30913887
cg26860970,chr6,30913881
cg16555181,chr6,30913866
cg02186769,chr6,30913868
cg03666441,chr17,7351352
cg13152952,chr8,41713036
cg13437525,chr12,50924704
cg02501827,chr11,11841332
cg12492653,chr11,11841320
cg05795313,chr12,48351353
cg21272996,chr11,57761783
cg25728685,chr6,28383371
cg27424995,chr1,27576044
cg22707529,chr6,143678578
cg20865323,chr6,143678529
cg22306344,chr3,49929340
cg11153400,chr22,46053618
cg26394940,chr22,46053581
cg10421247,chr12,120086849
cg25737313,chr19,12788743
cg16704678,chr1,31764576
cg17329494,chr5,65723134
cg25104621,chr11,1548582
cg10837858,chr11,1548553
cg23600866,chr15,99250904
cg04850765,chr15,66843141
cg11911122,chr8,70404534
cg25150243,chr15,50181962
cg25417405,chr15,50181932
cg10040748,chr1,211258225
cg19725489,chr5,72956968
cg21863949,chr21,41778271
cg08388111,chr10,72273062
cg14222879,chr8,70404461
cg14247332,chr9,130043700
cg09878888,chr11,57762142
cg15846482,chr11,18589010
cg27653384,chr22,21938746
cg25011475,chr10,86757851
cg12917475,chr14,23306578
cg05877109,chr14,23306585
cg25149155,chr14,23306568
cg04542489,chr14,23306537
cg13687825,chr8,100213116
cg09226051,chr1,247448200
cg03717364,chr2,42975341
cg04011671,chr2,42975334
cg01564818,chr3,9422752
cg01870865,chr3,48465688
cg26654286,chr17,40309258
cg00236832,chr17,40309237
cg19276111,chr1,23902742
cg11183072,chr17,39738144
cg13761998,chr17,39738150
cg17740645,chr17,39738160
cg16015423,chr19,15107163
cg17765751,chr19,15107182
cg23161218,chr17,7558321
cg15995296,chr11,67443341
cg19903071,chr2,159616740
cg13461447,chr1,1782562
cg06528063,chr17,8629441
cg04545296,chr12,48351460
cg26404511,chr1,23903085
cg01607849,chr12,6866965
cg15784646,chr4,158786541
cg17525495,chr17,58324373
cg04347477,chr12,124517461
cg04406436,chr1,38476641
cg05041073,chr17,39618640
cg21936280,chr17,39618681
cg08360820,chr10,11610641
cg02573357,chr1,203769671
cg18108087,chr1,59296440
cg06074992,chr16,71564650
cg18213545,chr11,57761928
cg10831212,chr11,57761947
cg04313875,chr17,1649908
cg16256390,chr14,99245999
cg27043010,chr14,99246043
cg01447281,chr1,8422629
cg08635931,chr11,10859088
cg15473346,chr1,165829183
cg06121450,chr1,165829145
cg09284949,chr19,50686922
cg15770702,chr17,45307479
cg13279811,chr3,24683874
cg15085899,chr12,124518518
cg08462306,chr1,44807873
cg24254387,chr1,44807823
cg12043428,chr2,38665816
cg03666441,chr17,7351352
cg01088404,chr12,47820740
cg21570709,chr1,150619999
cg16898124,chr3,126476540
cg07392085,chr5,142110108
cg23643435,chr2,38666109
cg05604112,chr2,38666095
cg26635214,chr16,30985162
cg02256631,chr16,31331631
cg12717729,chr1,23744763
cg19725489,chr5,72956968
cg00738869,chr3,138833806
cg12446199,chr1,167439604
cg16411883,chr5,107542652
cg18660064,chr1,23178139
cg19286686,chr2,157875187
cg23967461,chr2,157875224
cg08447324,chr19,50667559
cg25737313,chr19,12788743
cg01870865,chr3,48465688
cg05406868,chr7,5427735
cg01014262,chr16,48500019
cg22961457,chr20,63738957
cg17525495,chr17,58324373
cg00066663,chr17,7889356
cg01664727,chr21,34886126
cg09802389,chr4,121696152
cg13357602,chr6,30687943
cg01018002,chr1,28517967
cg24691069,chr6,37354997
cg22501342,chr6,37354953
cg21161394,chr1,167439472
cg02648847,chr1,167439498
cg02676175,chr17,7350401
cg23829102,chr4,123555539
cg13315450,chr2,219249567
cg03484180,chr3,49930084
cg13072940,chr3,49930088
cg05047486,chr17,40121350
cg06126721,chr17,1574771
cg23728447,chr10,124740698
cg20381404,chr5,34008110
cg08462306,chr1,44807873
cg24254387,chr1,44807823
cg22897141,chr11,64809866
cg09915396,chr17,3004601
cg02076355,chr10,44978924
cg18584387,chr12,4275713
cg07066369,chr12,4275722
cg17580045,chr12,4275724
cg24070123,chr6,34697379
cg23125506,chr15,40906336
cg11930955,chr12,113222240
cg10911160,chr5,119356099
cg23917399,chr5,119356056
cg05783185,chr8,118109042
cg11639950,chr12,124518861
cg17187521,chr12,124518833
cg21161394,chr1,167439472
cg02648847,chr1,167439498
cg13909895,chr22,50627714
cg26604214,chr17,3004384
cg18584387,chr12,4275713
cg07066369,chr12,4275722
cg17580045,chr12,4275724
cg23051299,chr2,75711163
cg20704342,chr2,75711147
cg26476925,chr19,44742189
cg24011261,chr3,49358793
cg05551922,chr3,49358799
cg05055782,chr3,49358760
cg03214730,chr16,73047659
cg07346187,chr6,149454485
cg22001211,chr2,61539397
cg20518511,chr7,5419270
cg09033131,chr11,118264379
cg16594165,chr11,118264390
cg01607849,chr12,6866965
cg22249612,chr12,55727701
cg21869046,chr19,40719100
cg12150039,chr19,34999628
cg22045942,chr19,34999657
cg22820108,chr12,124518672
cg04173586,chr19,2167497
cg26971042,chr15,70094878
cg09046309,chr20,47318482
cg10421247,chr12,120086849
cg13073224,chr12,116693718
cg16684607,chr16,57863813
cg01098178,chr16,57863783
cg08092930,chr11,70271608
cg27388962,chr10,4663242
cg07905673,chr3,42654088
cg12273325,chr22,31293845
cg10708955,chr17,8153632
cg04658021,chr17,8153649
cg13759852,chr17,8153667
cg02705163,chr6,138572536
cg04850961,chr6,138572550
cg01615880,chr6,138572540
cg06881310,chr6,138572581
cg25989075,chr6,138572575
cg03417473,chr1,112673760
cg06653052,chr19,1275168
cg01924434,chr19,1275122
cg20730253,chr5,119356002
cg23243080,chr5,119355999
cg06528575,chr1,206909483
cg04231677,chr1,184838870
cg01564818,chr3,9422752
cg26337070,chr2,85772750
cg00135056,chr3,129278452
cg21822187,chr12,65892361
cg23643435,chr2,38666109
cg05604112,chr2,38666095
cg13298116,chr11,62602387
cg11742103,chr11,62602398
cg12065777,chr17,16408524
cg25554283,chr17,65562141
cg02366988,chr17,65562127
cg12034678,chr1,41516356
cg08360820,chr10,11610641
cg05041073,chr17,39618640
cg21936280,chr17,39618681
cg02971575,chr4,145481388
cg22306344,chr3,49929340
cg13904970,chr5,124651974
cg22620363,chr10,79067037
cg11478607,chr22_KI270879v1_alt,278575
cg13469590,chr9,19229769
cg20243351,chr17,49193794
cg05768702,chr17,49193771
cg13607248,chr3,184156768
cg14247332,chr9,130043700
cg16208357,chr17,42780502
cg24104567,chr17,42780490
cg02763536,chr17,42780497
cg24235581,chr12,57896669
cg25104621,chr11,1548582
cg10837858,chr11,1548553
cg12894649,chr20,11890748
cg23944804,chr20,11890736
cg14603345,chr20,11890727
cg15085899,chr12,124518518
cg27424995,chr1,27576044
cg19811761,chr19,56507653
cg00674365,chr19,56507700
cg11411904,chr1,153963243
cg21344746,chr10,79071473
cg13357602,chr6,30687943
cg06065225,chr11,65872666
cg17598713,chr6,33297757
cg03384992,chr18,24272361
cg06593258,chr18,24272369
cg26398656,chr18,24272363
cg09033131,chr11,118264379
cg16594165,chr11,118264390
cg25728685,chr6,28383371
cg24152605,chr19,56538990
cg21970554,chr19,56539001
cg22054362,chr19,56538998
cg12349858,chr3,161104757
cg16208357,chr17,42780502
cg24104567,chr17,42780490
cg02763536,chr17,42780497
cg02003159,chr12,107317837
cg24124443,chr12,107317871
cg05022378,chr19,12495953
cg08894153,chr19,12495915
cg14873488,chr14,39266421
cg02447380,chr1,28592788
cg08092930,chr11,70271608
cg05412028,chr13,95300683
cg26685941,chr13,95300648
cg25365958,chr13,42041855
cg19358877,chr19,56507910
cg08640252,chr16,1770948
cg18213545,chr11,57761928
cg10831212,chr11,57761947
cg19210276,chr11,57761993
cg03287340,chr19,50147938
cg06923988,chr12,111597481
cg15050390,chr11,111977260
cg15416179,chr17,21286547
cg17062279,chr17,3755211
cg24152605,chr19,56538990
cg21970554,chr19,56539001
cg22054362,chr19,56538998
cg17772171,chr6,144287042
cg02305850,chr11,126282567
cg02973469,chr11,126282586
cg16898124,chr3,126476540
cg20645074,chr12,48788696
cg15846482,chr11,18589010
cg19927257,chr1,155325151
cg14210872,chr1,155325144
cg10903451,chr2,163736341
cg00490655,chr2,163736344
cg06003296,chr12,70609901
cg12426092,chr15,31397367
cg05058167,chr17,39739171
cg19713567,chr17,39739176
cg03717364,chr2,42975341
cg04011671,chr2,42975334
cg11270042,chr17,27892893
cg13790603,chr3,24494987
cg20985755,chr3,24494983
cg17700915,chr19,52336789
cg16704678,chr1,31764576
cg10831212,chr11,57761947
cg19210276,chr11,57761993
cg09082903,chr4,163332055
cg03666441,chr17,7351352
cg14878812,chr8,47736764
cg00159523,chr10,112953428
cg25011475,chr10,86757851
cg21602557,chr8,118110639
cg23919479,chr14,37198056
cg18976418,chr14,39266292
cg24312719,chr1,92785627
cg11226183,chr1,92785661
cg17140307,chr1,92785646
cg27363829,chr3,165196826
cg24442740,chr1,27575558
cg19146924,chr11,65027283
cg24585346,chr11,65027269
cg10683341,chr4,39637669
cg23651614,chr4,39637707
cg12446199,chr1,167439604
cg21863949,chr21,41778271
cg11497957,chr8,124973604
cg19547144,chr3,129428710
cg14779951,chr3,129428698
cg17329494,chr5,65723134
cg26059153,chr20,13995544
cg06571075,chr20,13995497
cg09057863,chr16,30805847
cg22777062,chr21,36980814
cg19725489,chr5,72956968
cg12272837,chr19,291315
cg02935627,chr19,291306
cg16015423,chr19,15107163
cg17765751,chr19,15107182
cg14222879,chr8,70404461
cg15245095,chr12,78864658
cg03205584,chr12,78864627
cg25570278,chr14,22837300
cg17468185,chr3,129428554
cg12894649,chr20,11890748
cg23944804,chr20,11890736
cg14603345,chr20,11890727
cg18238374,chr14,89040780
cg02321062,chr3,107525899
cg11033835,chr3,77038709
cg02003159,chr12,107317837
cg24124443,chr12,107317871
cg11183072,chr17,39738144
cg13761998,chr17,39738150
cg17740645,chr17,39738160
cg04850765,chr15,66843141
cg26308477,chr20,45436839
cg19286686,chr2,157875187
cg23967461,chr2,157875224
cg08169020,chr14,68790171
cg25913761,chr15,90184328
cg26955540,chr15,90184338
cg12827637,chr14,68790074
cg13677741,chr1,235867796
cg19442545,chr10,73773673
cg15838173,chr10,73773642
cg23231163,chr10,73773592
cg04858631,chr10,72275812
cg19442545,chr10,73773673
cg15838173,chr10,73773642
cg02646515,chr2,127411411
cg00982136,chr2,200861416
cg05507654,chr16,88443449
cg18136963,chr6,138692009
cg25170017,chr11,64877015
cg15376996,chr22,50474126
cg10560079,chr2,190534080
cg11845111,chr2,190534030
cg27211696,chr2,190534043
cg24565820,chr22_KI270879v1_alt,267101
cg23896514,chr7,150406814
cg27388962,chr10,4663242
cg08474651,chr2,200864960
cg14789659,chr10,62049314
cg00928816,chr10,62049339
cg20746552,chr10,62049349
cg16389209,chr10,62049362
cg23220823,chr7,45001541
cg01424562,chr14,68789960
cg08832851,chr12,92142046
cg09642825,chr16,87382624
cg06375761,chr6,33312631
cg13638257,chr6,33312659
cg14419102,chr6,33312623
cg18353226,chr6,33312613
cg26083458,chr6,33312647
cg22879098,chr5,672730
cg24082121,chr5,672757
cg12474798,chr10,62806012
cg20684110,chr10,62805990
cg01005506,chr10,62806008
cg06340704,chr13,97225163
cg09267773,chr16,79768570
cg12420283,chr1,174021261
cg26033520,chr10,72244313
cg06601071,chr16,85492236
cg18856478,chr1,43348687
cg05098343,chr7,37032081
cg17084151,chr8,101791009
cg12474798,chr10,62806012
cg20684110,chr10,62805990
cg01005506,chr10,62806008
cg06375761,chr6,33312631
cg13638257,chr6,33312659
cg14419102,chr6,33312623
cg18353226,chr6,33312613
cg26083458,chr6,33312647
cg19300307,chr13,98484326
cg08857351,chr12,117189645
cg02486646,chr12,117189673
cg03419014,chr21,36990442
cg14785464,chr21,36990425
cg06167719,chr21,36990427
cg09037712,chr21,36990454
cg27189395,chr16,89658663
cg04043919,chr16,89658683
cg26315985,chr1,64898187
cg11895835,chr5,111742779
cg25913761,chr15,90184328
cg26955540,chr15,90184338
cg18675610,chr10,31927383
cg22706007,chr10,31927431
cg00936790,chr8,29170327
cg11975790,chr6,30885831
cg25607383,chr6,30885792
cg09367425,chr11,61966525
cg05258935,chr19,38596283
cg10218876,chr19,55149257
cg18649823,chr19,55149223
cg19504245,chr19,55149252
cg24699670,chr19,55149246
cg07218880,chr13,114280804
cg07520810,chr10,62049390
cg20746552,chr10,62049349
cg16401465,chr10,62049411
cg16389209,chr10,62049362
cg06889535,chr11,126585817
cg22879098,chr5,672730
cg24082121,chr5,672757
cg10361922,chr17,42773772
cg03419014,chr21,36990442
cg14785464,chr21,36990425
cg06167719,chr21,36990427
cg09037712,chr21,36990454
cg26460530,chr22,39523062
cg19147129,chr2,74003183
cg08257293,chr20,31720637
cg12461469,chr3,149812554
cg13512830,chr3,149812507
cg04962480,chr8,100949890
cg08063160,chr2,237669733
cg26401541,chr6,90369255
cg14855367,chr3,191330519
cg15059065,chr19,17244152
cg07520810,chr10,62049390
cg14789659,chr10,62049314
cg00928816,chr10,62049339
cg20746552,chr10,62049349
cg16401465,chr10,62049411
cg16389209,chr10,62049362
cg02676175,chr17,7350401
cg20074395,chr20,1266071
cg18215449,chr12,65695693
cg12946660,chr19,41265968
cg06864789,chr6,138691855
cg05419812,chr6,31308660
cg18845950,chr6,31308657
cg19692929,chr14,92108776
cg04462378,chr11,72038714
cg20809067,chr17,4263115
cg20227056,chr6,129775318
cg10661769,chr6,30913707
cg12433575,chr6,30913687
cg27292818,chr19,55640606
cg27312961,chr3,191330572
cg13506158,chr3,191330588
cg27269488,chr3,191330622
cg08846870,chr19,15457549
cg05560697,chr5,142013288
cg14845962,chr12,57726454
cg14057303,chr9,106921553
cg21869046,chr19,40719100
cg01726273,chr2,70133018
cg05337711,chr16,11852207
cg14395885,chr9,127938644
cg21181453,chr9,127938675
cg27016579,chr5,169351024
cg06493154,chr6,42891285
cg24591770,chr1,44617032
cg11402700,chr13,110615446
cg03254916,chr1,202009821
cg15185986,chr13,98267124
cg20510285,chr6,11263564
cg19828220,chr17,48605051
cg10906729,chr17,48605028
cg18684142,chr17,48605032
cg11532431,chr7,27130055
cg16127573,chr11,57764827
cg18071071,chr4,1556724
cg02297709,chr1,160189880
cg15926420,chr1,160189882
cg01403948,chr19,7596731
cg03803541,chr17,48604039
cg17179862,chr17,48604000
cg08169020,chr14,68790171
cg12968518,chr2,147844935
cg13152952,chr8,41713036
cg12461469,chr3,149812554
cg13512830,chr3,149812507
cg08832851,chr12,92142046
cg25170017,chr11,64877015
cg04727071,chr19,4061361
cg18496447,chr15,45188719
cg13677741,chr1,235867796
cg15082802,chr19,11380837
cg03419014,chr21,36990442
cg14785464,chr21,36990425
cg06167719,chr21,36990427
cg09037712,chr21,36990454
cg09642825,chr16,87382624
cg13108141,chr7,129950767
cg12637869,chr3,122022362
cg25801976,chr8,47735550
cg12827637,chr14,68790074
cg15376996,chr22,50474126
cg22879098,chr5,672730
cg24082121,chr5,672757
cg24163242,chr8,47736251
cg18448570,chr10,96271580
cg01930746,chr2,10810385
cg27388962,chr10,4663242
cg03956042,chr3,194485768
cg14131285,chr17,73953071
cg22249612,chr12,55727701
cg00044505,chr8,47736524
cg05056497,chr21,34527150
cg01424562,chr14,68789960
cg20227056,chr6,129775318
cg07216976,chr10,114821489
cg07377519,chr19,49765826
cg14284211,chr6,35602447
cg23051299,chr2,75711163
cg20704342,chr2,75711147
cg15076218,chr1,46133330
cg14789659,chr10,62049314
cg00928816,chr10,62049339
cg20746552,chr10,62049349
cg16389209,chr10,62049362
cg19414630,chr8,47736312
cg05098343,chr7,37032081
cg22017733,chr5,163509447
cg24325362,chr18,41955206
cg26315985,chr1,64898187
cg02962602,chr17,82213537
cg13442969,chr12,67650428
cg12474798,chr10,62806012
cg20684110,chr10,62805990
cg01005506,chr10,62806008
cg19300307,chr13,98484326
cg02635260,chr1,222814775
cg00448868,chr16,66741590
cg11630632,chr13,32539206
cg17936564,chr13,32539194
cg08255475,chr16,88804921
cg12054453,chr17,59838356
cg01409343,chr17,59838379
cg07520810,chr10,62049390
cg20746552,chr10,62049349
cg16401465,chr10,62049411
cg16389209,chr10,62049362
cg26894079,chr11,123083727
cg17084151,chr8,101791009
cg16744438,chr11,118786418
cg10932907,chr11,129854052
cg25124966,chr11,129854092
cg08367326,chr1,109509388
cg27016579,chr5,169351024
cg04858631,chr10,72275812
cg10535675,chr11,86244532
cg08786207,chr8,41701785
cg11895835,chr5,111742779
cg06493154,chr6,42891285
cg13488013,chr17,49515318
cg10807894,chr12,124685258
cg07748583,chr7,151460080
cg15935721,chr7,151460054
cg19668951,chr11,47409261
cg12946660,chr19,41265968
cg08979515,chr3,111978728
cg10672681,chr3,111978690
cg12420283,chr1,174021261
cg25131247,chr11,118790256
cg11006453,chr8,140589086
cg13157980,chr8,140589042
cg27653384,chr22,21938746
cg27395200,chr6,32974933
cg07275218,chr6,32974937
cg27312961,chr3,191330572
cg13506158,chr3,191330588
cg27269488,chr3,191330622
cg22109530,chr1,178341399
cg14515791,chr1,178341410
cg15643574,chr11,86067199
